,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,strategy
323,17,p24,8.9973,8.4336,9.355767110726381,20.52500416856233,0.4859164640141348,1.3393743446178483,13.0,1.0,1,0
324,17,p25,10.9602,7.2455,11.590834934849157,20.07206762061676,1.1020443230650934,1.2991864369799733,13.0,1.0,1,0
325,17,p26,11.5584,7.3957,11.926930888597198,20.36408231556338,1.1025850534085795,1.3209261775360932,13.0,1.0,1,0
326,17,p27,12.6839,3.6401,11.614954477878884,18.3803041013769,1.6561334487292985,1.6401088599286466,13.0,1.0,1,0
327,17,p28,13.1946,3.7915,12.076934646427292,18.855093777662507,1.5804347914418992,1.6767780117766735,13.0,1.0,1,0
328,17,p29,14.1158,5.2322,14.27765484930748,19.824692466511145,1.5493156295603554,1.5937784792790295,13.0,1.0,1,0
329,17,p30,14.7593,4.9478,14.848026262731825,19.72230984154178,1.5149232719844261,1.617830467720406,13.0,1.0,1,0
330,17,p31,15.556,5.1211,15.343838418313483,19.860882126256797,1.5617779131489855,1.616709766206053,13.0,1.0,1,0
331,18,v0,19.3495,7.7345,2.0983764285662856,20.205952313489377,4.4388,4.363979433679517,15.0,7.0,2,1
332,18,p0,12.0711,7.635,11.282143964976502,19.888868782590784,1.3733520815872382,1.4463240267545863,17.0,7.0,1,0
333,18,p1,12.7993,7.8146,11.991929896940269,20.08541223635928,1.420984180066759,1.453243469240155,17.0,7.0,1,0
334,18,p2,14.6603,8.3083,14.975957276539258,21.33123187589532,1.5417084062818105,1.59845957152568,17.0,7.0,1,0
335,18,p3,13.9094,8.6542,12.76557025636977,21.345114440441815,1.0959873448174482,1.4857813075089488,17.0,7.0,1,0
336,18,p4,12.44,9.9105,9.102388588245324,20.79189080121708,1.6006509457092761,1.3145631083499965,17.0,7.0,1,0
337,18,p5,11.7814,9.2624,8.710552017064716,20.402310451613644,1.2559802864694969,1.3492243556388366,17.0,7.0,1,0
338,18,p6,11.2936,8.7823,8.190826169923971,18.804750458692105,1.246259142393748,1.1287351077008996,17.0,7.0,1,0
339,18,p7,10.6774,8.9767,7.663544795607537,19.05946408918755,1.235349059982643,1.1282045982276712,17.0,7.0,1,0
340,18,p8,10.3938,7.8307,7.583899440049586,17.946494758938158,1.2561305983057653,1.119890411791896,17.0,7.0,1,0
341,18,p35,13.9565,6.3998,12.98666173977765,18.956452509017645,1.5957049382639636,1.5253789940178402,17.0,7.0,1,0
342,18,p38,10.8371,6.4987,10.379470741274742,17.67671502683249,1.3103192359116156,1.2484718470566927,17.0,7.0,1,0
343,18,p39,7.1553,13.2527,19.183901765025446,11.559749168036024,1.3521175429673264,1.480431300098892,17.0,7.0,1,0
344,19,v0,24.1571,12.7398,30.45428323401751,34.631960716105226,3.2138,2.7189842210776507,20.0,5.0,2,1
345,19,p84,33.5257,19.8127,27.816488282826366,36.55460020935604,0.9717879038144074,1.1516225143567567,27.0,5.0,1,0
346,19,p85,33.9704,19.6306,28.453763903728635,36.54064270605222,1.0495727988091155,1.1637393175958317,27.0,5.0,1,0
347,19,p86,33.961,20.3569,28.886880030863882,36.892204098130414,0.981434954543601,1.1119614638355089,27.0,5.0,1,0
348,19,p87,35.0501,19.8693,29.59293146247117,36.42631008265717,1.182614666744836,1.190047921191552,26.0,5.0,1,0
349,19,p88,34.2971,18.467,23.337460405854323,35.9212506152042,1.389028696607813,1.3264244085540131,30.0,5.0,1,0
350,19,p89,33.8909,18.2351,22.65376173910051,36.451787531272274,1.224578327425404,1.3265688423770963,31.0,5.0,1,0
351,19,p90,33.4245,17.9712,22.19890230343782,36.21845425452081,1.4046307699890388,1.3130727627737406,31.0,5.0,1,0
352,19,p91,36.1755,18.4501,25.9201056341224,36.41817230023554,1.2530191259513959,1.2182597891045346,31.0,5.0,1,0
353,19,p92,36.7,18.8994,26.964733936861315,36.31797251171375,1.2940084427854404,1.2057915827160368,30.0,5.0,1,0
354,19,p95,36.6025,16.5274,31.479363231708728,36.603036462943166,1.5361357785039707,1.3376207534755835,29.0,5.0,1,0
355,19,p96,36.0872,16.0694,30.599980283229364,36.375877880829734,1.4718994327059167,1.3575705821918476,29.0,5.0,1,0
356,19,p97,35.4378,15.9487,30.035179981221987,36.6235614288735,1.405333501344076,1.381697598560236,29.0,5.0,1,0
357,19,p98,34.5665,16.1497,27.003441975086155,36.24546433990191,1.8232729088098687,1.5825172320532284,26.0,5.0,1,0
358,19,p99,33.9872,16.1733,26.63128132773826,36.52055658051663,1.7760023704939134,1.5940589193637067,26.0,5.0,1,0
359,19,p100,33.5442,15.5988,25.89751716985878,36.85113020373954,1.3139620276096262,1.2693996362244575,33.0,5.0,1,0
360,19,p101,32.945,15.2692,25.399616045689722,36.56020018235067,1.3098336726470272,1.26663142576172,33.0,5.0,1,0
361,19,p102,32.0316,15.1651,24.245223957607344,36.953890156047635,1.4125688160227805,1.2748203060436993,34.0,5.0,1,0
362,19,p107,33.3066,13.8911,18.09388497191933,36.20388382350509,1.4182068255370934,1.519887324108484,34.0,5.0,1,0
363,19,p108,33.1121,12.1878,21.88231952418591,36.57699177923535,1.341743198231316,1.3721642977304018,37.0,5.0,1,0
364,19,p109,33.6559,12.2705,22.44546517165437,36.75008325420223,1.400412185751038,1.379626555738504,37.0,5.0,1,0
365,20,v2,20.8149,8.0791,3.224108566548143,28.341036072306615,0.0624,1.1274214317803068,90.0,38.0,2,1
366,20,v3,26.0909,13.3335,-0.3615688149172396,18.7085332641096,2.2905,2.243127431536534,61.0,38.0,2,1
367,20,v4,20.7431,3.6401,1.7937707139680215,22.50382040377284,0.1058,1.6147460167583212,82.0,54.0,2,1
368,20,p63,15.0578,4.1767,12.699546415205516,-2.2422877149524276,0.08094689617273783,1.020465779276859,50.0,38.0,1,0
369,20,p183,13.5395,16.4536,13.31506848865533,36.69639272531323,1.3381418534669633,1.4462603761778663,59.0,38.0,1,0
370,20,p184,12.8872,16.5479,12.297989985435551,36.73017057331918,1.4080149146937329,1.4458475162738664,59.0,38.0,1,0
371,20,p186,7.5179,14.6143,3.21995709141243,31.18739837486515,1.4081810856562447,1.4300781174892954,55.0,38.0,1,0
372,20,p195,13.697000000000001,14.2469,13.197469272748126,37.23361979722181,1.3537471846692792,1.4374026183914237,63.0,38.0,1,0
